figure	published	ID	Nt	density	evaporation	plate_ID	set	person	organism	strain	genotype	included	sep_2a	marker	Environment	lineage	phi	mmss	mutation_rate	N0	background	luminescence	SD_Nt	cell_count	Competition_time	V	C_plates	environment_Glc	environment_YP	SD_mutation_rate	Lnet_per_cell	SD_mmss_plates	Nt_N0_strain	generations	generation_time	Wabs	coefficient_of_variation	N0_Nt	Luminescence_gross	background_per_cell	background_per_Lnet	mmss_per_V	DNA_repair	Ne	mutation_supply	believed_plastic	occurrence_in_table	genotype_marker	sep_2b	nominal_growth_rate	Growth period	m_per_Vt
2a	no	C4_01	97721354.2	104166667	0.938125	116	C4	C	Escherichia coli	MG1665	MG1665	included	included_Rif50	Rif50	Glc80	1	0.99989613	0.72	7.36788807	10150		1596966.67	3635613611		24	1	16	80		0.1632537	0.01634204	0.33963807	9627.71962	13.2329784	108.819039	13.2329784	47.1719538	0.00010387				0.72		112137.321	0.00082622	plastic	1	MG1665_Rif50	included_MG1665	0.9701558	13.640054941	0.0527857111
2a	no	C4_02	89903645.8	95833333.3	0.938125	116	C4	C	Escherichia coli	MG1665	MG1665	included	included_Rif50	Rif50	Glc80	1	0.99985262	1.11	12.3465516	13250		1618592.33	3291282413		24	1	16	80		0.13875199	0.01800363	0.2963462	6785.18082	12.7281715	113.134867	12.7281715	26.6978556	0.00014738				1.11		143041.864	0.00176607	plastic	1	MG1665_Rif50	included_MG1665	0.9701558	13.119719067	0.0846054702
2a	no	C4_03	240003646	255833333	0.938125	116	C4	C	Escherichia coli	MG1665	MG1665	included	included_Rif50	Rif50	Glc250	1	0.99994646	1.417	5.90407698	12850		4751952.33	5523585589		24	1	15	250		0.18079132	0.0197995	0.28340595	18677.3265	14.1890003	101.487065	14.1890003	20.0004196	0.00005354				1.417		148109.469	0.00087445	plastic	1	MG1665_Rif50	included_MG1665	0.9701558	14.625486279	0.0968856675
2a	no	C6_01	231928906	255833333	0.9065625	117	C6	C	Escherichia coli	MG1665	MG1665	included	included_Rif50	Rif50	Glc250	1	0.99994654	2.145	9.24852376	12400		2654302	45297438.5		24	1	15	250		0.1569559	0.01144446	0.24870863	18703.9441	14.1910549	101.472372	14.1910549	11.5948081	5.34647e-5				2.145		90923.5951	0.00084091	plastic	1	MG1665_Rif50	included_MG1665	0.9701558	14.62760404	0.1466405567
2a	no	C6_02	248798264	296666667	0.9065625	117	C6	C	Escherichia coli	MG1665	MG1665	included	included_Rif50	Rif50	Glc250	1	0.99996644	1.983	7.97031285	8350		6555730.33	103628768		24	1	15	250		0.16448478	0.02634958	0.25493755	29796.1993	14.8628407	96.8859204	14.8628407	12.8561547	3.35613e-5				1.983		63701.6393	0.00050772	plastic	1	MG1665_Rif50	included_MG1665	0.9701558	15.320055495	0.1294381734
2a	no	C7_01	105346094	117500000	0.8965625	118	C7	C	Escherichia coli	MG1665	MG1665	included	included_Rif50	Rif50	Glc80	1	0.99991552	2.263	21.4815748	8900		2026838.33	10271413.8		24	1	15	80		0.12036207	0.01923981	0.2445484	11836.6398	13.530972	106.42251	13.530972	10.8063809	8.44834e-5				2.263		64665.7243	0.00138912	plastic	1	MG1665_Rif50	included_MG1665	0.9701558	13.947215449	0.1622546098
2a	no	C7_02	102220660	110833333	0.8965625	118	C7	C	Escherichia coli	MG1665	MG1665	included	included_Rif50	Rif50	Glc80	1	0.99989973	1.919	18.773113	10250		2338586	16995794.4		24	1	17	80		0.11796351	0.02287782	0.24195969	9972.74729	13.2837753	108.402918	13.2837753	12.6086339	0.00010027				1.919		73208.1826	0.00137435	plastic	1	MG1665_Rif50	included_MG1665	0.9701558	13.692414432	0.1401505928
2a	no	C7_03	234600521	261666667	0.8965625	118	C7	C	Escherichia coli	MG1665	MG1665	included	included_Rif50	Rif50	Glc250	1	0.99994842	2.928	12.4807907	12100		6743596.33	28907479.3		24	1	16	250		0.13828015	0.02874502	0.21832638	19388.4728	14.2429115	101.102924	14.2429115	7.45650197	5.1577e-5				2.928		92222.0874	0.001151	plastic	1	MG1665_Rif50	included_MG1665	0.9701558	14.681055918	0.1994406953
2a	no	C7_04	272844618	295833333	0.8965625	118	C7	C	Escherichia coli	MG1665	MG1665	included	included_Rif50	Rif50	Glc250	1	0.99995877	3.077	11.277481	11250		7680312.33	92698724.4		24	1	15	250		0.14744962	0.02814903	0.22198841	24252.8549	14.565867	98.8612627	14.565867	7.21444292	4.12323e-5				3.077		87559.9178	0.00098746	plastic	1	MG1665_Rif50	included_MG1665	0.9701558	15.013946177	0.2049427888
2b	no	H17_01	11305729.2	12250000	0.92291667	119	H17	H	Saccharomyces cerevisiae	S288C	S288C	included	included_5-FOA1000	5-FOA1000	Glc500	1	0.99981868	1.553	137.363984	2050			0		48	1	17	500	0	0.06302047		0.25863817	5514.98985	12.4291425	231.713491	6.21457126	16.6540998	0.00018132				1.553		13766.1909	0.00189098	plastic	1	S288C_5-FOA1000	included_S288C	0.4	15.536428145	0.0999586253
2b	no	H17_02	18381423.6	19916667	0.92291667	119	H17	H	Saccharomyces cerevisiae	S288C	S288C	included	included_5-FOA1000	5-FOA1000	Glc1000	1	0.99989119	3.078	167.451666	2000			2334054.85		48	1	16	1000	0	0.06103106		0.21491735	9190.7118	13.1659609	218.745903	6.58298044	6.98237015	0.00010881				3.078		14166.7538	0.00237225	plastic	1	S288C_5-FOA1000	included_S288C	0.4	16.457451105	0.1870277469
2b	no	H17_03	26226215.3	28416667	0.92291667	119	H17	H	Saccharomyces cerevisiae	S288C	S288C	included	included_5-FOA1000	5-FOA1000	Glc2000	1	0.9999409	2.309	88.0416779	1550			741690.501		48	1	16	2000	0	0.07473074		0.2352868	16920.1389	14.0464538	205.033957	7.0232269	10.1899869	5.91012e-5				2.309		11661.3493	0.00102668	plastic	1	S288C_5-FOA1000	included_S288C	0.4	17.55806724	0.1315065017
2b	no	H17_04	35609201.4	38583333	0.92291667	119	H17	H	Saccharomyces cerevisiae	S288C	S288C	included	included_5-FOA1000	5-FOA1000	Glc4000	1	0.99994664	1.979	55.5755232	1900			5765151.96		48	1	16	4000	0	0.08638489		0.24699927	18741.6849	14.193963	202.903163	7.09698152	12.4810142	5.3357e-5				1.979		14434.6627	0.00080221	plastic	1	S288C_5-FOA1000	included_S288C	0.4	17.742453803	0.1115403778
2b	no	H17_05	43684722.2	47333333	0.92291667	119	H17	H	Saccharomyces cerevisiae	S288C	S288C	included	included_5-FOA1000	5-FOA1000	Glc6000	1	0.99994849	4.296	98.3410168	2250			1270757.16		48	1	16	6000	0	0.07217132		0.19349104	19415.4321	14.2449162	202.177392	7.1224581	4.5039813	5.15054e-5				4.296		17150.99	0.00168665	plastic	1	S288C_5-FOA1000	included_S288C	0.4	17.806145243	0.2412650207
S10	no	BB110_06	85363281.3	68333333	0.8328125	12	BB110	R	Escherichia coli	MN1	pgsA	included	included_Rif50	Rif50	Glc5	1	0.99998331	0.588	6.88820757	1425	434910.33	3648956.33	12621643.7		24	1.5	17	5		0.16177379	0.04274621	0.35120264	59904.057	15.8703661	90.735147	15.8703661	59.7283399	1.66934e-5	4083866.7	0.00509482	0.1191876	0.392		12020.2394	8.27979e-5	non-plastic	1	pgsA_Rif50	included_pgsA	0.9701558	16.358574667	0.0239629679
S10	no	BB110_07	141578125	113333330	0.8328125	12	BB110	R	Escherichia coli	MN1	pgsA	included	included_Rif50	Rif50	Glc25	1	0.99998305	0.456	3.22083655	2400	624575.33	3720338	23440195.4		24	1.5	16	25		0.21186829	0.02627763	0.39219511	58990.8854	15.8482044	90.8620283	15.8482044	86.0076991	1.69518e-5	4344913.3	0.00441152	0.16788134	0.304		20218.0231	6.51189e-5	non-plastic	1	pgsA_Rif50	included_pgsA	0.9701558	16.335731274	0.0186095128
S10	no	BB110_08	201957031	161666670	0.8328125	12	BB110	R	Escherichia coli	MN1	pgsA	included	included_Rif50	Rif50	Glc50	1	0.99999183	0.977	4.83766271	1650	863429.67	4748010.33	50098708		24	1.5	16	50		0.18638712	0.02351	0.30850294	122398.201	16.9012228	85.2009357	16.9012228	31.576555	0.00000817	5611440	0.00427531	0.18185084	0.65133333		14768.5707	7.14454e-5	non-plastic	1	pgsA_Rif50	included_pgsA	0.9701558	17.421142898	0.0373875203
S10	no	BB110_09	298771484	239166670	0.8328125	12	BB110	R	Escherichia coli	MN1	pgsA	included	included_Rif50	Rif50	Glc100	1	0.99999197	1.499	5.01721241	2400	1067325.7	10122841	37259053		24	1.5	16	100		0.18425972	0.03388155	0.26958677	124488.118	16.9256485	85.0779808	16.9256485	17.9844413	8.0329e-6	11190167	0.00357238	0.10543736	0.99933333		21510.8664	0.00010792	non-plastic	1	pgsA_Rif50	included_pgsA	0.9701558	17.446319991	0.0572804657
S10	no	BB110_10	393503906	315000000	0.8328125	12	BB110	R	Escherichia coli	MN1	pgsA	included	included_Rif50	Rif50	Glc275	1	0.99999199	2.025	5.14607344	3150	2249256.7	16725276.7	42247795		24	1.5	16	275		0.18279367	0.04250346	0.24521793	124921.875	16.9306666	85.0527645	16.9306666	12.1095272	8.005e-6	18974533	0.00571597	0.13448248	1.35		28240.9151	0.00014533	non-plastic	1	pgsA_Rif50	included_pgsA	0.9701558	17.451492434	0.0773572808
2b	no	H17_06	12399982.6	13166667	0.94177083	120	H17	H	Saccharomyces cerevisiae	S288C	S288C	included	included_5-FOA1000	5-FOA1000	Glc500	1	0.99980645	1.455	117.338874	2400			2029911.24		48	1	16	500	0	0.0682656		0.27212864	5166.65942	12.3350161	233.481658	6.16750803	18.7029995	0.00019355				1.455		16003.6457	0.00187785	plastic	1	S288C_5-FOA1000	included_S288C	0.4	15.418770087	0.0943655033
2b	no	H17_07	16480989.6	17500000	0.94177083	120	H17	H	Saccharomyces cerevisiae	S288C	S288C	included	included_5-FOA1000	5-FOA1000	Glc1000	1	0.99988168	4.377	265.578713	1950			848900.757		48	1	17	1000	0	0.05120245		0.18661262	8451.78954	13.0450411	220.773547	6.52252056	4.26348235	0.00011832				4.377		13694.7322	0.00363703	plastic	1	S288C_5-FOA1000	included_S288C	0.4	16.306301409	0.2684238375
2b	no	H17_08	28959453.1	30750000	0.94177083	120	H17	H	Saccharomyces cerevisiae	S288C	S288C	included	included_5-FOA1000	5-FOA1000	Glc2000	1	0.99991885	4.687	161.846979	2350			2864284.17		48	1	16	2000	0	0.06168906		0.18825399	12323.1715	13.589086	211.934784	6.79454299	4.01651352	8.11479e-5				4.687		17142.9142	0.00277453	plastic	1	S288C_5-FOA1000	included_S288C	0.4	16.986357475	0.2759273144
2b	no	H17_09	34374635.4	36500000	0.94177083	120	H17	H	Saccharomyces cerevisiae	S288C	S288C	included	included_5-FOA1000	5-FOA1000	Glc4000	1	0.99994764	7.478	217.544126	1800			5660426.61		48	1	16	4000	0	0.0562016		0.16249263	19097.0197	14.2210599	202.516551	7.11052994	2.17294241	5.23642e-5				7.478		13699.3257	0.00298021	plastic	1	S288C_5-FOA1000	included_S288C	0.4	17.776324856	0.4206718802
2b	no	H17_10	53445494.8	56750000	0.94177083	120	H17	H	Saccharomyces cerevisiae	S288C	S288C	included	included_5-FOA1000	5-FOA1000	Glc6000	1	0.99995509	6.323	118.307446	2400			0		48	1	16	6000	0	0.06808905		0.17131102	22268.9562	14.4427463	199.408058	7.22137316	2.70933129	4.49056e-5				6.323		18531.7359	0.00219244	plastic	1	S288C_5-FOA1000	included_S288C	0.4	18.053432893	0.3502380981
2b	no	H17_11	11679409.7	12333333	0.94697917	121	H17	H	Saccharomyces cerevisiae	S288C	S288C	included	included_5-FOA1000	5-FOA1000	Glc500	1	0.99981592	4.422	378.615025	2150			1838904.15		48	1	16	500	0	0.04720019		0.19173712	5432.28358	12.4073431	232.120606	6.20367154	4.33598186	0.00018408				4.422		14414.295	0.00545747	plastic	1	S288C_5-FOA1000	included_S288C	0.4	15.509178849	0.2851214783
2b	no	H17_12	16493220.5	17416667	0.94697917	121	H17	H	Saccharomyces cerevisiae	S288C	S288C	included	included_5-FOA1000	5-FOA1000	Glc1000	1	0.99989693	2.486	150.728598	1700			3849075.23		48	1	16	1000	0	0.06308767		0.22987579	9701.89441	13.2440508	217.456128	6.62202538	9.24681394	0.00010307				2.486		12108.092	0.00182504	plastic	1	S288C_5-FOA1000	included_S288C	0.4	16.555063454	0.1501655374
2b	no	H17_13	27935885.4	29500000	0.94697917	121	H17	H	Saccharomyces cerevisiae	S288C	S288C	included	included_5-FOA1000	5-FOA1000	Glc2000	1	0.99991588	4.323	154.747198	2350			3104878.83		48	1	17	2000	0	0.06069885		0.18734378	11887.6108	13.5371712	212.74755	6.76858558	4.3336521	8.41212e-5				4.323		17081.9387	0.00264338	plastic	1	S288C_5-FOA1000	included_S288C	0.4	16.921463961	0.2554743496
2b	no	H17_14	42692977.4	45083333	0.94697917	121	H17	H	Saccharomyces cerevisiae	S288C	S288C	included	included_5-FOA1000	5-FOA1000	Glc4000	1	0.99994964	10.07	235.870174	2150			8154245.83		48	1	16	4000	0	0.05478783		0.14795233	19857.1988	14.2773745	201.71776	7.13868725	1.46923865	0.00005036				10.07		16423.6093	0.00387384	plastic	1	S288C_5-FOA1000	included_S288C	0.4	17.846718124	0.5642494004
2b	no	H17_15	53267578.1	56250000	0.94697917	121	H17	H	Saccharomyces cerevisiae	S288C	S288C	included	included_5-FOA1000	5-FOA1000	Glc6000	1	0.99996245	6.997	131.3557	2000			3185075.42		48	1	16	6000	0	0.06588168		0.16593151	26633.7891	14.7009701	195.905439	7.35048503	2.37146644	3.75463e-5				6.997		15701.2813	0.00206245	plastic	1	S288C_5-FOA1000	included_S288C	0.4	18.376212584	0.3807639887
2b	no	H21_01	6902973.09	15416667	0.89552083	122	H21	H	Saccharomyces cerevisiae	S288C	S288C	excluded	excluded_5-FOA1000	5-FOA1000	Glc500	1	0.99986962	0.12454456	18.0421622	900	1481034	1234608.67	1836284.83	6080000	48	0.5	17	500	0	0.11944851	0.17885173	0.57264349	7669.9701	12.9050052	223.169224	6.45250262	459.790046	0.00013038	2715642.7	0.21455016	1.1995979	0.24908912		6275.97237	0.00011323	plastic	1	S288C_5-FOA1000	excluded_S288C	0.4	16.131256548	0.015441396
2b	no	H21_02	9328342.01	20833333	0.89552083	122	H21	H	Saccharomyces cerevisiae	S288C	S288C	excluded	excluded_5-FOA1000	5-FOA1000	Glc1000	1	0.99993032	0.2076835	22.2637099	650	1838506	2007964.67	1209460.74	12796667	48	0.5	16	1000	0	0.11523459	0.21525419	0.50245187	14351.2954	13.8088933	208.561246	6.90444667	241.931532	0.00006968	3846470.7	0.19708819	0.91560675	0.415367		4826.28812	0.00010745	plastic	1	S288C_5-FOA1000	excluded_S288C	0.4	17.261116682	0.0240637386
2b	no	H21_03	16119375	36000000	0.89552083	122	H21	H	Saccharomyces cerevisiae	S288C	S288C	excluded	excluded_5-FOA1000	5-FOA1000	Glc2000	1	0.99994882	0.1875	11.6319646	825	2108312	3074256	2707702.65	18033333	48	0.5	16	2000	0	0.14138241	0.19071806	0.51889645	19538.6364	14.2540422	202.04795	7.12702108	276.744772	0.00005118	5182568	0.13079366	0.68579585	0.375		6309.24637	7.33889e-5	plastic	1	S288C_5-FOA1000	excluded_S288C	0.4	17.817552703	0.0210466615
2b	no	H21_04	24440256.1	54583333	0.89552083	122	H21	H	Saccharomyces cerevisiae	S288C	S288C	included	included_5-FOA1000	5-FOA1000	Glc4000	1	0.99996931	0.3302142	13.5110777	750	3984480	5550013.33	3881425.71	41833333	48	0.5	16	4000	0	0.13486795	0.22708491	0.43416563	32587.0081	14.9920093	192.102336	7.49600464	131.479999	3.06871e-5	9534493.3	0.16302939	0.7179226	0.6604284		6012.35719	8.12334e-5	plastic	1	S288C_5-FOA1000	included_S288C	0.4	18.7400116	0.0352416217
2b	no	H21_06	5066302.08	11000000	0.92114583	123	H21	H	Saccharomyces cerevisiae	S288C	S288C	included	included_5-FOA1000	5-FOA1000	Glc500	1	0.99980755	0.3974129	78.4424011	975	1505050	1187860	1202130.6	4303333	48	0.5	16	500	0	0.07749837	0.23446292	0.4095575	5196.20726	12.3432433	233.326034	6.17162163	103.055914	0.00019245	2692910	0.29707072	1.2670264	0.7948258		6505.48893	0.00051031	plastic	1	S288C_5-FOA1000	included_S288C	0.4	15.429054077	0.0515148755
2b	no	H21_07	8981171.88	19500000	0.92114583	123	H21	H	Saccharomyces cerevisiae	S288C	S288C	excluded	excluded_5-FOA1000	5-FOA1000	Glc1000	1	0.99992484	0.06307917	7.0234899	675	1444899	1612163.67	3628382.21	11803333	48	0.5	17	1000	0	0.16078571	0.17950482	0.70949207	13305.4398	13.6997286	210.223143	6.84986429	1124.76444	7.51572e-5	3057062.7	0.1608809	0.89624833	0.12615834		4961.35527	3.4846e-5	plastic	1	S288C_5-FOA1000	excluded_S288C	0.4	17.124660725	0.0073670563
2b	no	H21_08	12896041.7	28000000	0.92114583	123	H21	H	Saccharomyces cerevisiae	S288C	S288C	included	included_5-FOA1000	5-FOA1000	Glc2000	1	0.9999244	0.3846476	29.8267956	975	1947591	10732196.3	6372530.22	13200000	48	0.5	16	2000	0	0.1050933	0.83220856	0.41379119	13226.7094	13.6911666	210.35461	6.84558328	107.5767	7.56046e-5	12679787	0.15102239	0.1814718	0.7692952		7162.2298	0.00021363	plastic	1	S288C_5-FOA1000	included_S288C	0.4	17.113958212	0.044951331
2b	no	H21_09	18000724.8	39083333	0.92114583	123	H21	H	Saccharomyces cerevisiae	S288C	S288C	included	included_5-FOA1000	5-FOA1000	Glc4000	1	0.99996389	0.3700783	20.5590777	650	4054680	5190720	7666614	21966667	48	0.5	16	4000	0	0.11816258	0.28836172	0.41885491	27693.4228	14.7572558	195.158236	7.37862788	113.180077	0.00003611	9245400	0.22525093	0.78114019	0.7401566		5121.20524	0.00010529	plastic	1	S288C_5-FOA1000	included_S288C	0.4	18.446569693	0.040124349
2b	no	H21_10	31856293.4	69166667	0.92114583	123	H21	H	Saccharomyces cerevisiae	S288C	S288C	included	included_5-FOA1000	5-FOA1000	Glc8000	1	0.99998195	0.479246	15.0439976	575	12072930	12237623.3	4468882.63	29100000	48	0.5	16	8000	0	0.13037871	0.38415088	0.38610033	55402.2494	15.7576569	182.768289	7.87882847	80.5641212	0.00001805	24310553	0.378981	0.98654205	0.958492		4817.87203	0.00007248	plastic	1	S288C_5-FOA1000	included_S288C	0.4	19.697071165	0.0486616509
2b	no	H23_01	10314045.1	11166667	0.92479167	124	H23	H	Saccharomyces cerevisiae	S288C	S288C	included	included_5-FOA1000	5-FOA1000	Glc500	1	0.9998982	0.6491949	62.9428021	1050	1001292	2434629.33	1670454.62	9056667	48	1	17	500	0	0.08058303	0.2360499	0.34041875	9822.9001	13.2619333	217.162908	6.63096666	52.4370646	0.0001018	3435921.3	0.09708044	0.41127082	0.6491949		7487.91215	0.00047131	plastic	1	S288C_5-FOA1000	included_S288C	0.4	16.577416638	0.0391614034
2b	no	H23_02	15394097.2	16666667	0.92479167	124	H23	H	Saccharomyces cerevisiae	S288C	S288C	excluded	excluded_5-FOA1000	5-FOA1000	Glc1000	1	0.9999188	0.25	16.239991	1250	1260561	7064273	2218833.64	19436667	48	1	16	1000	0	0.12727455	0.45889492	0.47394178	12315.2778	13.5881615	211.949202	6.79408077	189.576712	0.0000812	8324834	0.081886	0.17844172	0.25		9117.99381	0.00014808	plastic	1	S288C_5-FOA1000	excluded_S288C	0.4	16.985201933	0.0147186946
2b	no	H23_03	20705060.8	22416667	0.92479167	124	H23	H	Saccharomyces cerevisiae	S288C	S288C	included	included_5-FOA1000	5-FOA1000	Glc2000	1	0.99996136	0.4749063	22.9367257	800	1709956	13006981.3	3473919.45	24800000	48	1	16	2000	0	0.11415862	0.628203	0.38720825	25881.326	14.6596239	196.457973	7.32981196	81.5336094	3.86379e-5	14716937	0.08258638	0.13146448	0.4749063		6263.97769	0.00014368	plastic	1	S288C_5-FOA1000	included_S288C	0.4	18.324529892	0.0259164247
2b	no	H23_04	40717387.2	44083333	0.92479167	124	H23	H	Saccharomyces cerevisiae	S288C	S288C	excluded	excluded_5-FOA1000	5-FOA1000	Glc4000	1	0.99997298	0.27586678	6.77515919	1100	3725670	27884876.7	2069633.18	42966667	48	1	16	4000	0	0.1676241	0.68483954	0.45946854	37015.8065	15.1758538	189.775154	7.58792692	166.554503	2.70155e-5	31610547	0.09150071	0.13360898	0.27586678		8896.84343	6.02775e-5	plastic	1	S288C_5-FOA1000	excluded_S288C	0.4	18.969817305	0.0145424057
2b	no	H23_05	59267274.3	64166667	0.92479167	124	H23	H	Saccharomyces cerevisiae	S288C	S288C	excluded	excluded_5-FOA1000	5-FOA1000	Glc8000	1	0.99998313	0.29263361	4.93752435	1000	8419690	75397603.3	1852096.07	59200000	48	1	16	8000	0	0.18519134	1.27216249	0.45100772	59267.2743	15.8549481	181.646763	7.92747404	154.120272	1.68727e-5	83817293	0.14206305	0.11167053	0.29263361		8427.54766	4.16112e-5	plastic	1	S288C_5-FOA1000	excluded_S288C	0.4	19.818685111	0.0147655411
2b	no	H23_06	9929192.71	10750000	0.92364583	125	H23	H	Saccharomyces cerevisiae	S288C	S288C	included	included_5-FOA1000	5-FOA1000	Glc500	1	0.99994964	0.3377663	34.0174987	500	1089506	3225508	1404579.57	7016667	48	1	16	500	0	0.10083002	0.32485098	0.43108405	19858.3854	14.2774607	201.716542	7.13873035	127.627905	5.03566e-5	4315014	0.10972755	0.33777811	0.3377663		3819.46557	0.00012993	plastic	1	S288C_5-FOA1000	included_S288C	0.4	17.846825887	0.0189258472
2b	no	H23_07	15471067.7	16750000	0.92364583	125	H23	H	Saccharomyces cerevisiae	S288C	S288C	included	included_5-FOA1000	5-FOA1000	Glc1000	1	0.99990951	0.4947544	31.9793313	1400	1245383	11886349	3417177.53	12823333	48	1	17	1000	0	0.09974193	0.76829533	0.37083343	11050.7626	13.4318583	214.415603	6.71592916	74.9530342	9.04915e-5	13131732	0.08049755	0.10477422	0.4947544		10102.7843	0.00032308	plastic	1	S288C_5-FOA1000	included_S288C	0.4	16.789822896	0.0294675175
2b	no	H23_08	27247552.1	29500000	0.92364583	125	H23	H	Saccharomyces cerevisiae	S288C	S288C	included	included_5-FOA1000	5-FOA1000	Glc2000	1	0.99996697	0.4703666	17.2627104	900	1891408	12297767.3	1199851.13	15640000	48	1	16	2000	0	0.12484949	0.45133476	0.38838157	30275.0579	14.8858421	193.472427	7.44292105	82.569971	0.00003303	14189175	0.0694157	0.15380093	0.4703666		7148.75048	0.00012341	plastic	1	S288C_5-FOA1000	included_S288C	0.4	18.607302623	0.0252786021
2b	no	H23_09	35252482.6	38166667	0.92364583	125	H23	H	Saccharomyces cerevisiae	S288C	S288C	included	included_5-FOA1000	5-FOA1000	Glc4000	1	0.99997021	0.5268786	14.945858	1050	2665277	47063374.3	1502403.95	33966667	48	1	16	4000	0	0.13064778	1.33503716	0.37474623	33573.793	15.0350479	191.552432	7.51752396	71.1257259	2.97851e-5	49728651	0.07560537	0.05663166	0.5268786		8418.52637	0.00012582	plastic	1	S288C_5-FOA1000	included_S288C	0.4	18.79380989	0.0280346882
2b	no	H23_10	59267274.3	64166667	0.92364583	125	H23	H	Saccharomyces cerevisiae	S288C	S288C	excluded	excluded_5-FOA1000	5-FOA1000	Glc8000	1	0.99998397	0.21139915	3.56687822	950	8313340	86731320	2849987.51	56200000	48	1	16	8000	0	0.20516595	1.4633931	0.49965309	62386.6045	15.9289487	180.802893	7.96447434	236.355298	0.00001603	95044660	0.14026864	0.09585165	0.21139915		8041.31632	2.86824e-5	plastic	1	S288C_5-FOA1000	excluded_S288C	0.4	19.911185838	0.010617105
2b	no	H23_11	11989296.9	14250000	0.84135417	126	H23	H	Saccharomyces cerevisiae	S288C	S288C	excluded	excluded_5-FOA1000	5-FOA1000	Glc500	1	0.9999291	0.27586769	23.009497	850	1119577	6414284.33	399950.378	6586667	48	1	16	500	0	0.11404476	0.53500088	0.45946807	14105.0551	13.7839247	208.939041	6.89196234	166.553781	7.08966e-5	7533861.3	0.09338137	0.17454434	0.27586769		6340.59352	0.00014589	plastic	1	S288C_5-FOA1000	excluded_S288C	0.4	17.229905858	0.0160109807
2b	no	H23_12	15144375	18000000	0.84135417	126	H23	H	Saccharomyces cerevisiae	S288C	S288C	included	included_5-FOA1000	5-FOA1000	Glc1000	1	0.99990756	0.4702178	31.0490066	1400	1200682	17311772.7	4232676.95	14233333	48	1	16	1000	0	0.10377221	1.14311569	0.38842028	10817.4107	13.4010676	214.908251	6.7005338	82.6043326	9.24436e-5	18512455	0.07928237	0.06935639	0.4702178		10175.4406	0.00031594	plastic	1	S288C_5-FOA1000	included_S288C	0.4	16.751334491	0.0280704681
2b	no	H23_13	19421258.7	23083333.3	0.84135417	126	H23	H	Saccharomyces cerevisiae	S288C	S288C	included	included_5-FOA1000	5-FOA1000	Glc2000	1	0.99994594	0.7754294	39.9268355	1050	1578752	27742349.3	5699975.02	20300000	48	1	17	2000	0	0.09300648	1.42845269	0.32188876	18496.4368	14.1749598	203.17518	7.08747988	41.5110341	5.40645e-5	29321101	0.08128989	0.05690765	0.7754294		8037.74014	0.00032092	plastic	1	S288C_5-FOA1000	included_S288C	0.4	17.718699695	0.0437633355
2b	no	H23_14	33163376.7	39416667	0.84135417	126	H23	H	Saccharomyces cerevisiae	S288C	S288C	included	included_5-FOA1000	5-FOA1000	Glc4000	1	0.99996382	0.3713695	11.1981811	1200	1921113	53504495.7	11161251.3	17400000	48	1	16	4000	0	0.14308518	1.61336091	0.41839562	27636.1473	14.7542689	195.197744	7.37713444	112.662894	3.61845e-5	55425609	0.05792875	0.03590564	0.3713695		9533.49889	0.00010676	plastic	1	S288C_5-FOA1000	included_S288C	0.4	18.442836106	0.0201362468
2b	no	H23_15	31761119.8	37750000	0.84135417	126	H23	H	Saccharomyces cerevisiae	S288C	S288C	excluded	excluded_5-FOA1000	5-FOA1000	Glc8000	1	0.99997953	0.23235518	7.31571121	650	2695302	48932299.3	13769759.7	30433333	48	1	16	8000	0	0.16361958	1.5406352	0.48499594	48863.2612	15.5764625	184.894355	7.78823127	208.730419	2.04653e-5	51627601	0.08486168	0.05508227	0.23235518		5431.15735	3.97328e-5	plastic	1	S288C_5-FOA1000	excluded_S288C	0.4	19.470578168	0.0119336559
2a	no	H35_01	82444704.9	85833333.3	0.96052083	127	H35	H	Escherichia coli	MG1665	MG1665	included	included_Rif50	Rif50	Glc80	1	0.99988113	1.287	15.6104628	9800	107754.667	1996872	8433095.77		24	1	15	80		0.13309584	0.02422074	0.29212802	8412.72499	13.0383575	110.443359	13.0383575	22.6983699	0.00011887	2104626.67	0.00130699	0.05396173	1.287		68792.0698	0.00107388	plastic	1	MG1665_Rif50	included_MG1665	0.9701558	13.439447012	0.0957628687
2a	no	H35_02	127269010	132500000	0.96052083	127	H35	H	Escherichia coli	MG1665	MG1665	included	included_Rif50	Rif50	Glc125	1	0.99993046	1.373	10.7881722	8850	852993	2467467	37278233		24	1	15	125		0.14952434	0.01938781	0.28623599	14380.6791	13.8118442	104.258344	13.8118442	20.8474866	6.95377e-5	3320460	0.00670228	0.34569581	1.373		65544.7871	0.00070711	plastic	1	MG1665_Rif50	included_MG1665	0.9701558	14.236727946	0.0964406994
2a	no	H35_03	220919792	230000000	0.96052083	127	H35	H	Escherichia coli	MG1665	MG1665	included	included_Rif50	Rif50	Glc250	1	0.99995043	1.41	6.38240689	10950	1649063.33	5044190	50427343.8		24	1	11	250		0.20600114	0.02283268	0.33146351	20175.3234	14.3003042	100.697159	14.3003042	23.5080504	4.95655e-5	6693253.33	0.00746453	0.32692332	1.41		83771.338	0.00053466	plastic	1	MG1665_Rif50	included_MG1665	0.9701558	14.740214079	0.095656684
