Well,Sample,PriorAvg,PostAvg,Post2Avg,PriorRaw,PostRaw,Post2Raw,OD_bc,time,AddH2O2,Strain,Glucose,LB,Catalase,RepNum,Week,Block,CellRemovalMethod,GAIN,Treatment,NetAvg,Repeat,Nutrient,NetFU
B10,Sample X10,1484,27359.7,27039.3,1542,25937,25797,8.50E-04,6,0,MG,1000,NA,0,2,RG7,RG7,syringe,2398,MG_01000,25875.7,MG_01000_2,Glc,24395
B11,Sample X11,1380.3,37138.7,37370.3,1265,35045,35601,NA,6,0.05,S,NA,NA,0,NA,RG7,RG7,syringe,2398,S_0,35758.4,S_0_.,NA,33780
B12,Sample X12,1136,103833,105742.3,1102,98756,100899,NA,6,0.2,S,NA,NA,0,NA,RG7,RG7,syringe,2398,S_0,102697,S_0_.,NA,97654
C1,Sample X1,1438.3,38224,38771.7,1312,38224,38241,NA,6,0.05,S,NA,NA,0,NA,RG7,RG7,syringe,2398,S_0,36785.7,S_0_.,NA,36912
C2,Sample X2,1536.7,113480.7,113547,1455,111481,111907,NA,6,0.2,S,NA,NA,0,NA,RG7,RG7,syringe,2398,S_0,111944,S_0_.,NA,110026
C3,Sample X3,1416.3,31305.7,31490.7,1428,30185,32061,0.002,6,0,blank,80,NA,0,1,RG7,RG7,syringe,2398,blank_080,29889.4,blank_080_1,Glc,28757
C4,Sample X4,1552.7,26238.7,26663,1516,26852,27132,0.002,6,0,blank,1000,NA,0,1,RG7,RG7,syringe,2398,blank_01000,24686,blank_01000_1,Glc,25336
C5,Sample X5,1549.3,27324,28635,1771,27515,29614,9.50E-04,6,0,hpx,0,2,0,1,RG7,RG7,syringe,2398,hpx2_00,25774.7,hpx2_00_1,LB,25744
C6,Sample X6,1480.3,32039.7,32577.3,1630,31856,31984,3.50E-04,6,0,hpx,0,5,0,1,RG7,RG7,syringe,2398,hpx5_00,30559.4,hpx5_00_1,LB,30226
C7,Sample X7,1395.7,19673.3,19569,1374,19772,19842,-0.001,6,0,MG,80,NA,0,1,RG7,RG7,syringe,2398,MG_080,18277.6,MG_080_1,Glc,18398
C8,Sample X8,1547.7,24582.7,25427,1462,24420,25558,9.50E-04,6,0,MG,1000,NA,0,1,RG7,RG7,syringe,2398,MG_01000,23035,MG_01000_1,Glc,22958
C9,Sample X9,1542.3,29313.7,30064.3,1566,29466,30400,-6.50E-04,6,0,MG,80,NA,0,2,RG7,RG7,syringe,2398,MG_080,27771.4,MG_080_2,Glc,27900
C10,Sample X10,1484,27359.7,27039.3,1430,28204,28432,8.50E-04,6,0,MG,1000,NA,0,2,RG7,RG7,syringe,2398,MG_01000,25875.7,MG_01000_2,Glc,26774
C11,Sample X11,1380.3,37138.7,37370.3,1368,36994,37102,NA,6,0.05,S,NA,NA,0,NA,RG7,RG7,syringe,2398,S_0,35758.4,S_0_.,NA,35626
C12,Sample X12,1136,103833,105742.3,1189,106361,107574,NA,6,0.2,S,NA,NA,0,NA,RG7,RG7,syringe,2398,S_0,102697,S_0_.,NA,105172
D1,Sample X1,1438.3,38224,38771.7,1369,39202,39197,NA,6,0.05,S,NA,NA,0,NA,RG7,RG7,syringe,2398,S_0,36785.7,S_0_.,NA,37833
D2,Sample X2,1536.7,113480.7,113547,1648,117086,117288,NA,6,0.2,S,NA,NA,0,NA,RG7,RG7,syringe,2398,S_0,111944,S_0_.,NA,115438
D3,Sample X3,1416.3,31305.7,31490.7,1408,33074,31698,0.002,6,0,blank,80,NA,0,1,RG7,RG7,syringe,2398,blank_080,29889.4,blank_080_1,Glc,31666
D4,Sample X4,1552.7,26238.7,26663,1512,26717,26855,0.002,6,0,blank,1000,NA,0,1,RG7,RG7,syringe,2398,blank_01000,24686,blank_01000_1,Glc,25205
D5,Sample X5,1549.3,27324,28635,1441,27627,28883,9.50E-04,6,0,hpx,0,2,0,1,RG7,RG7,syringe,2398,hpx2_00,25774.7,hpx2_00_1,LB,26186
D6,Sample X6,1480.3,32039.7,32577.3,1228,33159,32995,3.50E-04,6,0,hpx,0,5,0,1,RG7,RG7,syringe,2398,hpx5_00,30559.4,hpx5_00_1,LB,31931
D7,Sample X7,1395.7,19673.3,19569,1316,20068,19472,-0.001,6,0,MG,80,NA,0,1,RG7,RG7,syringe,2398,MG_080,18277.6,MG_080_1,Glc,18752
D8,Sample X8,1547.7,24582.7,25427,1536,24701,25001,9.50E-04,6,0,MG,1000,NA,0,1,RG7,RG7,syringe,2398,MG_01000,23035,MG_01000_1,Glc,23165
D9,Sample X9,1542.3,29313.7,30064.3,1420,30703,31477,-6.50E-04,6,0,MG,80,NA,0,2,RG7,RG7,syringe,2398,MG_080,27771.4,MG_080_2,Glc,29283
D10,Sample X10,1484,27359.7,27039.3,1480,27938,26889,8.50E-04,6,0,MG,1000,NA,0,2,RG7,RG7,syringe,2398,MG_01000,25875.7,MG_01000_2,Glc,26458
D11,Sample X11,1380.3,37138.7,37370.3,1508,39377,39408,NA,6,0.05,S,NA,NA,0,NA,RG7,RG7,syringe,2398,S_0,35758.4,S_0_.,NA,37869
D12,Sample X12,1136,103833,105742.3,1117,106382,108754,NA,6,0.2,S,NA,NA,0,NA,RG7,RG7,syringe,2398,S_0,102697,S_0_.,NA,105265
F1,Sample X1,1730,40244.7,40043.3,1713,39631,39973,NA,12,0.05,S,NA,NA,0,NA,RG7,RG7,syringe,2398,S_0,38514.7,S_0_.,NA,37918
F2,Sample X2,1569,114986.7,114401,1725,113279,114475,NA,12,0.2,S,NA,NA,0,NA,RG7,RG7,syringe,2398,S_0,113417.7,S_0_.,NA,111554
F3,Sample X3,1444.7,22918.7,22844.3,1489,23419,22864,0.009,12,0,blank,80,NA,0,1,RG7,RG7,syringe,2398,blank_080,21474,blank_080_1,Glc,21930
F4,Sample X4,1310.3,29393.3,30035.7,1288,29649,29374,0.002,12,0,blank,1000,NA,0,1,RG7,RG7,syringe,2398,blank_01000,28083,blank_01000_1,Glc,28361
F5,Sample X5,1227,27950.3,28830.7,1505,28242,28408,0.005,12,0,hpx,0,2,0,1,RG7,RG7,syringe,2398,hpx2_00,26723.3,hpx2_00_1,LB,26737
F6,Sample X6,1205,28681.3,29647,1314,29511,29764,0.02,12,0,hpx,0,5,0,1,RG7,RG7,syringe,2398,hpx5_00,27476.3,hpx5_00_1,LB,28197
F7,Sample X7,1176,23944,24475.7,1316,24135,24398,-0.004,12,0,MG,80,NA,0,1,RG7,RG7,syringe,2398,MG_080,22768,MG_080_1,Glc,22819
F8,Sample X8,1437.3,23817.7,24701.3,1653,23420,24298,-0.002,12,0,MG,1000,NA,0,1,RG7,RG7,syringe,2398,MG_01000,22380.4,MG_01000_1,Glc,21767
F9,Sample X9,1447.7,24199.3,24180.3,1666,24621,24656,0.002,12,0,MG,80,NA,0,2,RG7,RG7,syringe,2398,MG_080,22751.6,MG_080_2,Glc,22955
F10,Sample X10,1377,27202.7,27383.3,1509,28145,27698,-0.004,12,0,MG,1000,NA,0,2,RG7,RG7,syringe,2398,MG_01000,25825.7,MG_01000_2,Glc,26636
F11,Sample X11,1612.3,38860,39460,1652,39642,39403,NA,12,0.05,S,NA,NA,0,NA,RG7,RG7,syringe,2398,S_0,37247.7,S_0_.,NA,37990
G1,Sample X1,1730,40244.7,40043.3,1732,40129,40100,NA,12,0.05,S,NA,NA,0,NA,RG7,RG7,syringe,2398,S_0,38514.7,S_0_.,NA,38397
G2,Sample X2,1569,114986.7,114401,1716,116095,111799,NA,12,0.2,S,NA,NA,0,NA,RG7,RG7,syringe,2398,S_0,113417.7,S_0_.,NA,114379
G3,Sample X3,1444.7,22918.7,22844.3,1446,22882,23063,0.009,12,0,blank,80,NA,0,1,RG7,RG7,syringe,2398,blank_080,21474,blank_080_1,Glc,21436
G4,Sample X4,1310.3,29393.3,30035.7,1225,29337,29992,0.002,12,0,blank,1000,NA,0,1,RG7,RG7,syringe,2398,blank_01000,28083,blank_01000_1,Glc,28112
G5,Sample X5,1227,27950.3,28830.7,1021,27139,28351,0.005,12,0,hpx,0,2,0,1,RG7,RG7,syringe,2398,hpx2_00,26723.3,hpx2_00_1,LB,26118
G6,Sample X6,1205,28681.3,29647,1197,28519,29505,0.02,12,0,hpx,0,5,0,1,RG7,RG7,syringe,2398,hpx5_00,27476.3,hpx5_00_1,LB,27322
G7,Sample X7,1176,23944,24475.7,1008,23716,24112,-0.004,12,0,MG,80,NA,0,1,RG7,RG7,syringe,2398,MG_080,22768,MG_080_1,Glc,22708
G8,Sample X8,1437.3,23817.7,24701.3,1411,23479,24518,-0.002,12,0,MG,1000,NA,0,1,RG7,RG7,syringe,2398,MG_01000,22380.4,MG_01000_1,Glc,22068
G9,Sample X9,1447.7,24199.3,24180.3,1518,24300,24539,0.002,12,0,MG,80,NA,0,2,RG7,RG7,syringe,2398,MG_080,22751.6,MG_080_2,Glc,22782
G10,Sample X10,1377,27202.7,27383.3,1310,27050,26852,-0.004,12,0,MG,1000,NA,0,2,RG7,RG7,syringe,2398,MG_01000,25825.7,MG_01000_2,Glc,25740
G11,Sample X11,1612.3,38860,39460,1517,38522,39062,NA,12,0.05,S,NA,NA,0,NA,RG7,RG7,syringe,2398,S_0,37247.7,S_0_.,NA,37005
G12,Sample X12,1538.7,75651,75700,1542,112544,112117,NA,12,0.2,S,NA,NA,0,NA,RG7,RG7,syringe,2398,S_0,74112.3,S_0_.,NA,111002
H1,Sample X1,1730,40244.7,40043.3,1745,40974,40057,NA,12,0.05,S,NA,NA,0,NA,RG7,RG7,syringe,2398,S_0,38514.7,S_0_.,NA,39229
H2,Sample X2,1569,114986.7,114401,1266,115586,116929,NA,12,0.2,S,NA,NA,0,NA,RG7,RG7,syringe,2398,S_0,113417.7,S_0_.,NA,114320
H3,Sample X3,1444.7,22918.7,22844.3,1399,22455,22606,0.009,12,0,blank,80,NA,0,1,RG7,RG7,syringe,2398,blank_080,21474,blank_080_1,Glc,21056
H4,Sample X4,1310.3,29393.3,30035.7,1418,29194,30741,0.002,12,0,blank,1000,NA,0,1,RG7,RG7,syringe,2398,blank_01000,28083,blank_01000_1,Glc,27776
H5,Sample X5,1227,27950.3,28830.7,1155,28470,29733,0.005,12,0,hpx,0,2,0,1,RG7,RG7,syringe,2398,hpx2_00,26723.3,hpx2_00_1,LB,27315
H6,Sample X6,1205,28681.3,29647,1104,28014,29672,0.02,12,0,hpx,0,5,0,1,RG7,RG7,syringe,2398,hpx5_00,27476.3,hpx5_00_1,LB,26910
H7,Sample X7,1176,23944,24475.7,1204,23981,24917,-0.004,12,0,MG,80,NA,0,1,RG7,RG7,syringe,2398,MG_080,22768,MG_080_1,Glc,22777
H8,Sample X8,1437.3,23817.7,24701.3,1248,24554,25288,-0.002,12,0,MG,1000,NA,0,1,RG7,RG7,syringe,2398,MG_01000,22380.4,MG_01000_1,Glc,23306
H9,Sample X9,1447.7,24199.3,24180.3,1159,23677,23346,0.002,12,0,MG,80,NA,0,2,RG7,RG7,syringe,2398,MG_080,22751.6,MG_080_2,Glc,22518
H10,Sample X10,1377,27202.7,27383.3,1312,26413,27600,-0.004,12,0,MG,1000,NA,0,2,RG7,RG7,syringe,2398,MG_01000,25825.7,MG_01000_2,Glc,25101
H11,Sample X11,1612.3,38860,39460,1668,38416,39915,NA,12,0.05,S,NA,NA,0,NA,RG7,RG7,syringe,2398,S_0,37247.7,S_0_.,NA,36748
H12,Sample X12,1538.7,75651,75700,1397,112868,113409,NA,12,0.2,S,NA,NA,0,NA,RG7,RG7,syringe,2398,S_0,74112.3,S_0_.,NA,111471
B1,Sample X1,1167.3,37874,37324.7,1183,37950,37051,NA,24,0.05,S,NA,NA,0,NA,RG7,RG7,syringe,2398,S_0,36706.7,S_0_.,NA,36767
B2,Sample X2,1254.7,114720,116719,1169,111229,112673,NA,24,0.2,S,NA,NA,0,NA,RG7,RG7,syringe,2398,S_0,113465.3,S_0_.,NA,110060
B3,Sample X3,1344.3,26607,27218,1308,25847,26056,-5.00E-05,24,0,blank,80,NA,0,1,RG7,RG7,syringe,2398,blank_080,25262.7,blank_080_1,Glc,24539
B4,Sample X4,1359.7,26395,26695,1402,25749,26035,9.50E-04,24,0,blank,1000,NA,0,1,RG7,RG7,syringe,2398,blank_01000,25035.3,blank_01000_1,Glc,24347
B5,Sample X5,1376.3,21941.3,22387.7,1457,21090,22538,0.014,24,0,hpx,0,2,0,1,RG7,RG7,syringe,2398,hpx2_00,20565,hpx2_00_1,LB,19633
B6,Sample X6,1208,16985,17087.3,1125,17304,17018,0.048,24,0,hpx,0,5,0,1,RG7,RG7,syringe,2398,hpx5_00,15777,hpx5_00_1,LB,16179
B7,Sample X7,1238.7,15113.7,15592.3,1288,14684,15043,0.031,24,0,MG,80,NA,0,1,RG7,RG7,syringe,2398,MG_080,13875,MG_080_1,Glc,13396
B8,Sample X8,1541.7,14997,15462.3,1571,14509,15389,0.123,24,0,MG,1000,NA,0,1,RG7,RG7,syringe,2398,MG_01000,13455.3,MG_01000_1,Glc,12938
B9,Sample X9,1424.3,18831.3,19429.3,1493,18989,18622,0.034,24,0,MG,80,NA,0,2,RG7,RG7,syringe,2398,MG_080,17407,MG_080_2,Glc,17496
B10,Sample X10,1149.7,15471.3,15885,1070,15547,15705,0.118,24,0,MG,1000,NA,0,2,RG7,RG7,syringe,2398,MG_01000,14321.6,MG_01000_2,Glc,14477
B11,Sample X11,1360.3,38062,38236,1259,36058,36816,NA,24,0.05,S,NA,NA,0,NA,RG7,RG7,syringe,2398,S_0,36701.7,S_0_.,NA,34799
B12,Sample X12,1107.3,110830,110217.7,1126,105243,105956,NA,24,0.2,S,NA,NA,0,NA,RG7,RG7,syringe,2398,S_0,109722.7,S_0_.,NA,104117
C1,Sample X1,1167.3,37874,37324.7,1147,38346,37487,NA,24,0.05,S,NA,NA,0,NA,RG7,RG7,syringe,2398,S_0,36706.7,S_0_.,NA,37199
C2,Sample X2,1254.7,114720,116719,1336,112774,115989,NA,24,0.2,S,NA,NA,0,NA,RG7,RG7,syringe,2398,S_0,113465.3,S_0_.,NA,111438
C3,Sample X3,1344.3,26607,27218,1225,27072,27681,-5.00E-05,24,0,blank,80,NA,0,1,RG7,RG7,syringe,2398,blank_080,25262.7,blank_080_1,Glc,25847
C4,Sample X4,1359.7,26395,26695,1291,26848,27441,9.50E-04,24,0,blank,1000,NA,0,1,RG7,RG7,syringe,2398,blank_01000,25035.3,blank_01000_1,Glc,25557
C5,Sample X5,1376.3,21941.3,22387.7,1441,22697,22830,0.014,24,0,hpx,0,2,0,1,RG7,RG7,syringe,2398,hpx2_00,20565,hpx2_00_1,LB,21256
C6,Sample X6,1208,16985,17087.3,1321,17273,17228,0.048,24,0,hpx,0,5,0,1,RG7,RG7,syringe,2398,hpx5_00,15777,hpx5_00_1,LB,15952
C7,Sample X7,1238.7,15113.7,15592.3,1217,15158,16063,0.031,24,0,MG,80,NA,0,1,RG7,RG7,syringe,2398,MG_080,13875,MG_080_1,Glc,13941
C8,Sample X8,1541.7,14997,15462.3,1619,15848,15798,0.123,24,0,MG,1000,NA,0,1,RG7,RG7,syringe,2398,MG_01000,13455.3,MG_01000_1,Glc,14229
C9,Sample X9,1424.3,18831.3,19429.3,1394,19012,19870,0.034,24,0,MG,80,NA,0,2,RG7,RG7,syringe,2398,MG_080,17407,MG_080_2,Glc,17618
C10,Sample X10,1149.7,15471.3,15885,1219,15515,15817,0.118,24,0,MG,1000,NA,0,2,RG7,RG7,syringe,2398,MG_01000,14321.6,MG_01000_2,Glc,14296
C11,Sample X11,1360.3,38062,38236,1349,38502,38144,NA,24,0.05,S,NA,NA,0,NA,RG7,RG7,syringe,2398,S_0,36701.7,S_0_.,NA,37153
C12,Sample X12,1107.3,110830,110217.7,1107,111469,109043,NA,24,0.2,S,NA,NA,0,NA,RG7,RG7,syringe,2398,S_0,109722.7,S_0_.,NA,110362
D1,Sample X1,1167.3,37874,37324.7,1172,37326,37436,NA,24,0.05,S,NA,NA,0,NA,RG7,RG7,syringe,2398,S_0,36706.7,S_0_.,NA,36154
D2,Sample X2,1254.7,114720,116719,1259,120157,121495,NA,24,0.2,S,NA,NA,0,NA,RG7,RG7,syringe,2398,S_0,113465.3,S_0_.,NA,118898
D3,Sample X3,1344.3,26607,27218,1500,26902,27917,-5.00E-05,24,0,blank,80,NA,0,1,RG7,RG7,syringe,2398,blank_080,25262.7,blank_080_1,Glc,25402
D4,Sample X4,1359.7,26395,26695,1386,26588,26609,9.50E-04,24,0,blank,1000,NA,0,1,RG7,RG7,syringe,2398,blank_01000,25035.3,blank_01000_1,Glc,25202
D5,Sample X5,1376.3,21941.3,22387.7,1231,22037,21795,0.014,24,0,hpx,0,2,0,1,RG7,RG7,syringe,2398,hpx2_00,20565,hpx2_00_1,LB,20806
D6,Sample X6,1208,16985,17087.3,1178,16378,17016,0.048,24,0,hpx,0,5,0,1,RG7,RG7,syringe,2398,hpx5_00,15777,hpx5_00_1,LB,15200
D7,Sample X7,1238.7,15113.7,15592.3,1211,15499,15671,0.031,24,0,MG,80,NA,0,1,RG7,RG7,syringe,2398,MG_080,13875,MG_080_1,Glc,14288
D8,Sample X8,1541.7,14997,15462.3,1435,14634,15200,0.123,24,0,MG,1000,NA,0,1,RG7,RG7,syringe,2398,MG_01000,13455.3,MG_01000_1,Glc,13199
D9,Sample X9,1424.3,18831.3,19429.3,1386,18493,19796,0.034,24,0,MG,80,NA,0,2,RG7,RG7,syringe,2398,MG_080,17407,MG_080_2,Glc,17107
D10,Sample X10,1149.7,15471.3,15885,1160,15352,16133,0.118,24,0,MG,1000,NA,0,2,RG7,RG7,syringe,2398,MG_01000,14321.6,MG_01000_2,Glc,14192
D11,Sample X11,1360.3,38062,38236,1473,39626,39748,NA,24,0.05,S,NA,NA,0,NA,RG7,RG7,syringe,2398,S_0,36701.7,S_0_.,NA,38153
D12,Sample X12,1107.3,110830,110217.7,1089,115778,115654,NA,24,0.2,S,NA,NA,0,NA,RG7,RG7,syringe,2398,S_0,109722.7,S_0_.,NA,114689
F1,Sample X1,1200,36635.7,36841,1237,36449,37840,NA,0,0.05,S,NA,NA,0,NA,RG8,RG8,syringe,2398,S_0,35435.7,S_0_.,NA,35212
F2,Sample X2,1332.7,114470,114128.7,1474,117127,116967,NA,0,0.2,S,NA,NA,0,NA,RG8,RG8,syringe,2398,S_0,113137.3,S_0_.,NA,115653
F3,Sample X3,1182.7,27212,27540.3,1245,27928,27906,7.50E-04,0,0,blank,0,2,0,1,RG8,RG8,syringe,2398,blank2_00,26029.3,blank2_00_1,LB,26683
F4,Sample X4,1144.7,28519.3,28553,1269,28830,29333,0.002,0,0,blank,0,5,0,1,RG8,RG8,syringe,2398,blank5_00,27374.6,blank5_00_1,LB,27561
F5,Sample X5,1100.3,25933.7,26753.7,1253,27100,28230,0.002,0,0,hpx,0,2,0,1,RG8,RG8,syringe,2398,hpx2_00,24833.4,hpx2_00_1,LB,25847
F6,Sample X6,1094.3,26056,26545.7,1166,27130,28341,0.003,0,0,hpx,0,5,0,1,RG8,RG8,syringe,2398,hpx5_00,24961.7,hpx5_00_1,LB,25964
F7,Sample X7,1145.7,25254.3,25000.3,1278,26692,25750,-3.50E-04,0,0,MG,80,NA,0,1,RG8,RG8,syringe,2398,MG_080,24108.6,MG_080_1,Glc,25414
F8,Sample X8,1228,22483.7,22505,1349,23393,23461,4.50E-04,0,0,MG,1000,NA,0,1,RG8,RG8,syringe,2398,MG_01000,21255.7,MG_01000_1,Glc,22044
F9,Sample X9,1273.3,25981.3,26334.7,1348,26491,26853,6.50E-04,0,0,MG,80,NA,0,2,RG8,RG8,syringe,2398,MG_080,24708,MG_080_2,Glc,25143
F10,Sample X10,1183,23705,24176,1258,24791,24850,0.001,0,0,MG,1000,NA,0,2,RG8,RG8,syringe,2398,MG_01000,22522,MG_01000_2,Glc,23533
F11,Sample X11,1251.3,39444,39453.3,1251,40801,39750,NA,0,0.05,S,NA,NA,0,NA,RG8,RG8,syringe,2398,S_0,38192.7,S_0_.,NA,39550
F12,Sample X12,1371.7,116441.7,116374.3,1433,118038,115331,NA,0,0.2,S,NA,NA,0,NA,RG8,RG8,syringe,2398,S_0,115070,S_0_.,NA,116605
G1,Sample X1,1200,36635.7,36841,1218,35834,36513,NA,0,0.05,S,NA,NA,0,NA,RG8,RG8,syringe,2398,S_0,35435.7,S_0_.,NA,34616
G2,Sample X2,1332.7,114470,114128.7,1312,113147,112726,NA,0,0.2,S,NA,NA,0,NA,RG8,RG8,syringe,2398,S_0,113137.3,S_0_.,NA,111835
G3,Sample X3,1182.7,27212,27540.3,1206,27204,27617,7.50E-04,0,0,blank,0,2,0,1,RG8,RG8,syringe,2398,blank2_00,26029.3,blank2_00_1,LB,25998
G4,Sample X4,1144.7,28519.3,28553,1040,27582,27914,0.002,0,0,blank,0,5,0,1,RG8,RG8,syringe,2398,blank5_00,27374.6,blank5_00_1,LB,26542
G5,Sample X5,1100.3,25933.7,26753.7,1085,24941,25527,0.002,0,0,hpx,0,2,0,1,RG8,RG8,syringe,2398,hpx2_00,24833.4,hpx2_00_1,LB,23856
G6,Sample X6,1094.3,26056,26545.7,1219,26269,25978,0.003,0,0,hpx,0,5,0,1,RG8,RG8,syringe,2398,hpx5_00,24961.7,hpx5_00_1,LB,25050
G7,Sample X7,1145.7,25254.3,25000.3,1148,25028,24833,-3.50E-04,0,0,MG,80,NA,0,1,RG8,RG8,syringe,2398,MG_080,24108.6,MG_080_1,Glc,23880
G8,Sample X8,1228,22483.7,22505,1175,21637,22184,4.50E-04,0,0,MG,1000,NA,0,1,RG8,RG8,syringe,2398,MG_01000,21255.7,MG_01000_1,Glc,20462
G9,Sample X9,1273.3,25981.3,26334.7,1454,25759,26270,6.50E-04,0,0,MG,80,NA,0,2,RG8,RG8,syringe,2398,MG_080,24708,MG_080_2,Glc,24305
G10,Sample X10,1183,23705,24176,1182,23364,24027,0.001,0,0,MG,1000,NA,0,2,RG8,RG8,syringe,2398,MG_01000,22522,MG_01000_2,Glc,22182
G11,Sample X11,1251.3,39444,39453.3,1315,38416,39398,NA,0,0.05,S,NA,NA,0,NA,RG8,RG8,syringe,2398,S_0,38192.7,S_0_.,NA,37101
G12,Sample X12,1371.7,116441.7,116374.3,1382,116324,116659,NA,0,0.2,S,NA,NA,0,NA,RG8,RG8,syringe,2398,S_0,115070,S_0_.,NA,114942
H1,Sample X1,1200,36635.7,36841,1145,37624,36170,NA,0,0.05,S,NA,NA,0,NA,RG8,RG8,syringe,2398,S_0,35435.7,S_0_.,NA,36479
H2,Sample X2,1332.7,114470,114128.7,1212,113136,112693,NA,0,0.2,S,NA,NA,0,NA,RG8,RG8,syringe,2398,S_0,113137.3,S_0_.,NA,111924
H3,Sample X3,1182.7,27212,27540.3,1097,26504,27098,7.50E-04,0,0,blank,0,2,0,1,RG8,RG8,syringe,2398,blank2_00,26029.3,blank2_00_1,LB,25407
H4,Sample X4,1144.7,28519.3,28553,1125,29146,28412,0.002,0,0,blank,0,5,0,1,RG8,RG8,syringe,2398,blank5_00,27374.6,blank5_00_1,LB,28021
H5,Sample X5,1100.3,25933.7,26753.7,963,25760,26504,0.002,0,0,hpx,0,2,0,1,RG8,RG8,syringe,2398,hpx2_00,24833.4,hpx2_00_1,LB,24797
H6,Sample X6,1094.3,26056,26545.7,898,24769,25318,0.003,0,0,hpx,0,5,0,1,RG8,RG8,syringe,2398,hpx5_00,24961.7,hpx5_00_1,LB,23871
H7,Sample X7,1145.7,25254.3,25000.3,1011,24043,24418,-3.50E-04,0,0,MG,80,NA,0,1,RG8,RG8,syringe,2398,MG_080,24108.6,MG_080_1,Glc,23032
H8,Sample X8,1228,22483.7,22505,1160,22421,21870,4.50E-04,0,0,MG,1000,NA,0,1,RG8,RG8,syringe,2398,MG_01000,21255.7,MG_01000_1,Glc,21261
H9,Sample X9,1273.3,25981.3,26334.7,1018,25694,25881,6.50E-04,0,0,MG,80,NA,0,2,RG8,RG8,syringe,2398,MG_080,24708,MG_080_2,Glc,24676
H10,Sample X10,1183,23705,24176,1109,22960,23651,0.001,0,0,MG,1000,NA,0,2,RG8,RG8,syringe,2398,MG_01000,22522,MG_01000_2,Glc,21851
H11,Sample X11,1251.3,39444,39453.3,1188,39115,39212,NA,0,0.05,S,NA,NA,0,NA,RG8,RG8,syringe,2398,S_0,38192.7,S_0_.,NA,37927
H12,Sample X12,1371.7,116441.7,116374.3,1300,114963,117133,NA,0,0.2,S,NA,NA,0,NA,RG8,RG8,syringe,2398,S_0,115070,S_0_.,NA,113663
B1,Sample X1,1308.7,37889,38474.3,1265,37108,38015,NA,3,0.05,S,NA,NA,0,NA,RG8,RG8,syringe,2398,S_0,36580.3,S_0_.,NA,35843
B2,Sample X2,1604.3,115850.7,115713,1614,112357,112706,NA,3,0.2,S,NA,NA,0,NA,RG8,RG8,syringe,2398,S_0,114246.4,S_0_.,NA,110743
B3,Sample X3,1217.7,31632.7,31470,1236,31360,31648,0.008,3,0,blank,0,2,0,1,RG8,RG8,syringe,2398,blank2_00,30415,blank2_00_1,LB,30124
B4,Sample X4,1142,37116,36245,1147,38412,36686,0.013,3,0,blank,0,5,0,1,RG8,RG8,syringe,2398,blank5_00,35974,blank5_00_1,LB,37265
B5,Sample X5,1235,25548.7,26944,1326,24994,27377,0.002,3,0,hpx,0,2,0,1,RG8,RG8,syringe,2398,hpx2_00,24313.7,hpx2_00_1,LB,23668
B6,Sample X6,1126.7,32993,34047.7,1068,32353,33596,0.004,3,0,hpx,0,5,0,1,RG8,RG8,syringe,2398,hpx5_00,31866.3,hpx5_00_1,LB,31285
B7,Sample X7,1012.3,36136.3,37610.3,1091,36504,38389,8.50E-04,3,0,MG,80,NA,0,1,RG8,RG8,syringe,2398,MG_080,35124,MG_080_1,Glc,35413
B8,Sample X8,1142.7,34799.7,35470,1329,35958,37364,8.50E-04,3,0,MG,1000,NA,0,1,RG8,RG8,syringe,2398,MG_01000,33657,MG_01000_1,Glc,34629
B9,Sample X9,1181,31876.3,32737,1119,31790,32423,0.004,3,0,MG,80,NA,0,2,RG8,RG8,syringe,2398,MG_080,30695.3,MG_080_2,Glc,30671
B10,Sample X10,1136,28417,29042.3,1145,28731,28356,-0.002,3,0,MG,1000,NA,0,2,RG8,RG8,syringe,2398,MG_01000,27281,MG_01000_2,Glc,27586
B11,Sample X11,1413,38655.7,38303.7,1370,38239,38067,NA,3,0.05,S,NA,NA,0,NA,RG8,RG8,syringe,2398,S_0,37242.7,S_0_.,NA,36869
B12,Sample X12,1225.3,109850,110798,1243,108087,110034,NA,3,0.2,S,NA,NA,0,NA,RG8,RG8,syringe,2398,S_0,108624.7,S_0_.,NA,106844
C1,Sample X1,1308.7,37889,38474.3,1355,37728,38329,NA,3,0.05,S,NA,NA,0,NA,RG8,RG8,syringe,2398,S_0,36580.3,S_0_.,NA,36373
C2,Sample X2,1604.3,115850.7,115713,1560,113866,115578,NA,3,0.2,S,NA,NA,0,NA,RG8,RG8,syringe,2398,S_0,114246.4,S_0_.,NA,112306
C3,Sample X3,1217.7,31632.7,31470,1235,32218,31399,0.008,3,0,blank,0,2,0,1,RG8,RG8,syringe,2398,blank2_00,30415,blank2_00_1,LB,30983
C4,Sample X4,1142,37116,36245,1239,33633,35413,0.013,3,0,blank,0,5,0,1,RG8,RG8,syringe,2398,blank5_00,35974,blank5_00_1,LB,32394
C5,Sample X5,1235,25548.7,26944,1220,25899,26301,0.002,3,0,hpx,0,2,0,1,RG8,RG8,syringe,2398,hpx2_00,24313.7,hpx2_00_1,LB,24679
C6,Sample X6,1126.7,32993,34047.7,1067,33131,34293,0.004,3,0,hpx,0,5,0,1,RG8,RG8,syringe,2398,hpx5_00,31866.3,hpx5_00_1,LB,32064
